wdcd,longitude,latitude
E05006965,-2.23364997,53.04909897
E05006966,-2.25960994,53.0848999
E05006967,-2.25881004,53.04880142
E05006968,-2.21477008,52.98989868
E05006969,-2.23516011,53.0243988
E05006970,-2.32493997,53.03680038
E05006971,-2.25237989,53.03219986
E05006972,-2.28420997,53.00630188
E05006973,-2.22823,53.0931015
E05006974,-2.25628996,53.02050018
E05006975,-2.35389996,52.93420029
E05006976,-2.34239006,52.99900055000001
E05006977,-2.21376991,53.02069855
E05006978,-2.20953989,53.10070038000001
E05006979,-2.22178006,53.03639984
E05006980,-2.23101997,53.08160019
E05006981,-2.23268008,52.98529816
E05006982,-2.27287006,53.01390076
E05006983,-2.26041007,53.06919861
E05006984,-2.24582005,53.00490189
E05006985,-2.22275996,53.0094986
E05006986,-2.23393989,52.99639893
E05006987,-2.21810007,53.03089905
E05008525,-0.23323999,52.36460114
E05008526,-0.26552999,52.28519821
E05008527,-0.01795,52.3470993
E05008528,-0.1788,52.23149872
E05008529,-0.20069,52.33589935
E05008531,-0.10467,52.47679901
E05008533,-0.26506001,52.21780014
E05008535,-0.11537,52.3022995
E05008576,-0.39758,52.3606987
E05008577,-0.07628,52.29809952
E05008578,-0.36812001,52.28609848
E05008579,-0.25816,52.25090027
E05008580,-0.07115,52.32479858
E05008581,-0.28172001,52.229599
E05008582,-0.24859001,52.2303009
E05008584,-0.16320001,52.40299988
E05008937,-0.07062,52.34600067
E05008938,-0.02314,52.39559937
E05008939,-0.07411,52.42340088
E05010919,-1.33905995,52.02009964000001
E05010920,-1.31955004,52.04410172
S13002945,-3.55528998,56.10189819
S13002951,-3.34521008,56.10350037
S13002952,-3.26376009,56.1432991
S13002957,-3.23888993,56.18450165
S13003070,-3.44387007,56.22890091
E05001505,-0.9284,54.571999
E05001506,-1.07593,54.616772
E05001507,-1.0,50.0
E05001508,-1.11794,54.56723
E05001509,-1.14907,54.579441
E05001510,-1.08167,54.552471
E05001511,-1.11104,54.5172
E05001512,-1.07304,54.59758
E05001513,-0.94072,54.525791
