LSOACD,latitude,longitude,lsoa11cd
S01007179,56.5557419906199,-2.617340805425465,S01007179
S01007180,56.556851383717465,-2.605499150702836,S01007180
S01007181,56.55627932402344,-2.595598930942264,S01007181
S01007182,56.56189151473096,-2.5961915275639638,S01007182
S01007183,56.56478374820695,-2.5944471303470404,S01007183
S01007184,56.55933063491023,-2.590635870674048,S01007184
S01007185,56.55726947707068,-2.589546287927033,S01007185
S01007186,56.557495856951206,-2.5853687452077394,S01007186
S01007187,56.56050352391644,-2.581965959602651,S01007187
S01007188,56.5581486136823,-2.578350616851802,S01007188
S01007189,56.56322920188363,-2.5792905340152976,S01007189
S01007190,56.56392637583141,-2.5703518801335354,S01007190
S01007191,56.56698564664418,-2.577118597167092,S01007191
S01007192,56.56987663413514,-2.575584058463187,S01007192
S01007193,56.5674358958396,-2.573008390871673,S01007193
S01007194,56.567647624666094,-2.567983214563249,S01007194
S01007195,56.57010418070819,-2.567124970365813,S01007195
S01007196,56.56772417822181,-2.563004794435835,S01007196
S01007197,56.56521266351558,-2.5854716898254098,S01007197
S01007198,56.56608872282632,-2.5844926099556504,S01007198
S01007199,56.56832963718509,-2.583664694119045,S01007199
S01007200,56.56931511593178,-2.591849327848071,S01007200
S01007201,56.5733684706379,-2.58392136862254,S01007201
S01007202,56.57431726570704,-2.584668413689703,S01007202
S01007203,56.574976988554106,-2.597081093316221,S01007203
S01007204,56.62980171116785,-2.532796589857888,S01007204
S01007205,56.69368729898387,-2.4840639460991736,S01007205
S01007206,56.70114679595669,-2.461999209078156,S01007206
S01007207,56.69892442098131,-2.4771911284828594,S01007207
S01007208,56.70864335729116,-2.4705030207027785,S01007208
S01007209,56.71113499539219,-2.4672834999770044,S01007209
S01007210,56.70723526864018,-2.462678184380731,S01007210
S01007211,56.710176475801696,-2.459300405764129,S01007211
S01007212,56.71244142415884,-2.45901764641587,S01007212
S01007213,56.71505353002541,-2.4596049185815105,S01007213
S01007214,56.71483448618611,-2.465369015169634,S01007214
S01007215,56.715825110140514,-2.4695144870115566,S01007215
S01007216,56.72020853282924,-2.464896237589876,S01007216
S01007217,56.72087546344918,-2.4691199528865506,S01007217
S01007218,56.72392884151223,-2.471788796207995,S01007218
S01007219,56.72620736563966,-2.467911751867109,S01007219
S01007220,56.72875832040422,-2.4680251673017857,S01007220
S01007221,56.723188325686905,-2.477514890239068,S01007221
